,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
187807,2223,T1,2022-08-05,Istanbulspor,Trabzonspor,0.0,2.0,A,0.0,1.0,A,3.0,13.0,2.0,5.0,13.0,11.0,1.0,10.0,2.0,2.0,0.0,0.0,4.89,3.84,1.77
187870,2223,T1,2022-08-06,Sivasspor,Gaziantep,1.0,1.0,D,0.0,1.0,A,9.0,16.0,3.0,6.0,11.0,14.0,2.0,6.0,2.0,3.0,0.0,0.0,2.01,3.71,3.81
187871,2223,T1,2022-08-06,Besiktas,Kayserispor,1.0,0.0,H,0.0,0.0,D,20.0,5.0,6.0,1.0,22.0,14.0,9.0,4.0,5.0,2.0,1.0,1.0,1.52,4.6,6.44
187941,2223,T1,2022-08-07,Antalyaspor,Galatasaray,0.0,1.0,A,0.0,0.0,D,12.0,13.0,4.0,4.0,17.0,16.0,1.0,6.0,2.0,4.0,0.0,0.0,2.55,3.54,2.83
187942,2223,T1,2022-08-07,Karagumruk,Alanyaspor,2.0,4.0,A,0.0,2.0,A,17.0,10.0,4.0,6.0,19.0,19.0,10.0,3.0,2.0,3.0,0.0,0.0,2.72,3.66,2.59
187943,2223,T1,2022-08-07,Giresunspor,Ad. Demirspor,2.0,3.0,A,0.0,2.0,A,14.0,10.0,5.0,4.0,21.0,16.0,6.0,1.0,3.0,2.0,0.0,0.0,3.07,3.69,2.32
187945,2223,T1,2022-08-08,Ankaragucu,Konyaspor,0.0,0.0,D,0.0,0.0,D,12.0,10.0,3.0,0.0,14.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,3.33,3.54,2.22
187946,2223,T1,2022-08-08,Buyuksehyr,Kasimpasa,4.0,0.0,H,2.0,0.0,H,15.0,9.0,7.0,3.0,14.0,15.0,6.0,5.0,2.0,3.0,0.0,0.0,1.83,3.74,4.49
187948,2223,T1,2022-08-08,Fenerbahce,Umraniyespor,3.0,3.0,D,2.0,1.0,H,17.0,10.0,6.0,5.0,14.0,13.0,5.0,5.0,7.0,2.0,0.0,0.0,1.32,5.59,9.84
187963,2223,T1,2022-08-12,Trabzonspor,Hatayspor,1.0,0.0,H,0.0,0.0,D,21.0,7.0,6.0,3.0,18.0,10.0,11.0,2.0,2.0,3.0,0.0,0.0,1.5,4.61,6.71
188028,2223,T1,2022-08-13,Galatasaray,Giresunspor,0.0,1.0,A,0.0,0.0,D,14.0,5.0,2.0,4.0,7.0,11.0,10.0,3.0,3.0,2.0,0.0,0.0,1.44,4.85,7.58
188029,2223,T1,2022-08-13,Ad. Demirspor,Sivasspor,3.0,0.0,H,1.0,0.0,H,27.0,10.0,13.0,1.0,12.0,6.0,7.0,1.0,2.0,0.0,0.0,0.0,1.96,3.81,3.88
